Product - English Name,Date of Sale,Total Amount Sold,month,day,Quantity of Order Received,Quantity of Order Placed,Quantity of Order Left
Shiitake mushroom,1/1/2018,1.537,1,0,1.5,2,0.463
Shiitake mushroom,2/1/2018,0.556,1,1,1.5,1.5,0.944
Shiitake mushroom,3/1/2018,0.471,1,2,1,1.5,1.029
Shiitake mushroom,4/1/2018,0.513,1,3,1,1.1,0.587
Shiitake mushroom,5/1/2018,1.325,1,4,1.5,2,0.675
Shiitake mushroom,6/1/2018,1.115,1,5,1.5,1.7,0.585
Shiitake mushroom,7/1/2018,1.197,1,6,1,1,-0.197
Shiitake mushroom,8/1/2018,0.472,1,0,1,1.1,0.628
Shiitake mushroom,9/1/2018,0.726,1,1,1,1,0.274
Shiitake mushroom,10/1/2018,0.814,1,2,1,1.4,0.586
Shiitake mushroom,11/1/2018,0.981,1,3,1,1.5,0.519
Shiitake mushroom,12/1/2018,1.241,1,4,1.5,2.2,0.959
Shiitake mushroom,13/1/2018,2.392,1,5,1.5,2.1,-0.292
Shiitake mushroom,14/1/2018,1.066,1,6,2,2.2,1.134
Shiitake mushroom,15/1/2018,0.684,1,0,1.5,1.5,0.816
Shiitake mushroom,16/1/2018,0.555,1,1,1.5,2,1.445
Shiitake mushroom,17/1/2018,0.557,1,2,1.5,1.5,0.943
Shiitake mushroom,18/1/2018,1.241,1,3,1.5,1.7,0.459
Shiitake mushroom,19/1/2018,1.067,1,4,1.5,2.1,1.033
Shiitake mushroom,20/1/2018,1.069,1,5,1,1,-0.069
Shiitake mushroom,21/1/2018,0.856,1,6,1.5,1.7,0.844
Shiitake mushroom,22/1/2018,0.597,1,0,1.5,2.1,1.503
Shiitake mushroom,23/1/2018,0.684,1,1,0.5,0.5,-0.184
Shiitake mushroom,24/1/2018,0.343,1,2,0.5,0.5,0.157
Shiitake mushroom,25/1/2018,0.685,1,3,1.5,1.5,0.815
Shiitake mushroom,26/1/2018,1.497,1,4,1.5,1.5,0.003
Shiitake mushroom,27/1/2018,1.752,1,5,1.5,1.6,-0.152
Shiitake mushroom,28/1/2018,0.941,1,6,1.5,2.1,1.159
Shiitake mushroom,29/1/2018,0.472,1,0,1,1,0.528
Shiitake mushroom,30/1/2018,0.554,1,1,1.5,1.5,0.946
Shiitake mushroom,31/1/2018,0.983,1,2,1,1,0.017
Shiitake mushroom,1/2/2018,0.81,2,3,0.5,0.5,-0.31
Shiitake mushroom,2/2/2018,1.199,2,4,1.5,2,0.801
Shiitake mushroom,3/2/2018,1.156,2,5,2,2.1,0.944
Shiitake mushroom,4/2/2018,0.941,2,6,1.5,1.5,0.559
Shiitake mushroom,5/2/2018,0.769,2,0,1.5,1.5,0.731
Shiitake mushroom,6/2/2018,0.469,2,1,1.5,1.5,1.031
Shiitake mushroom,7/2/2018,1.194,2,2,1.5,2.1,0.906
Shiitake mushroom,8/2/2018,1.028,2,3,1,1,-0.028
Shiitake mushroom,9/2/2018,1.327,2,4,1.5,1.6,0.273
Shiitake mushroom,10/2/2018,1.327,2,5,1.5,1.5,0.173
Shiitake mushroom,11/2/2018,1.24,2,6,2,2,0.76
Shiitake mushroom,12/2/2018,1.113,2,0,2,2,0.887
Shiitake mushroom,13/2/2018,0.896,2,1,2.5,2.5,1.604
Shiitake mushroom,14/2/2018,1.237,2,2,2,2,0.763
Shiitake mushroom,15/2/2018,2.048,2,3,2.5,2.8,0.752
Shiitake mushroom,16/2/2018,1.412,2,4,2,2.1,0.688
Shiitake mushroom,17/2/2018,0.941,2,5,3,3.1,2.159
Shiitake mushroom,18/2/2018,1.282,2,6,1.5,1.5,0.218
Shiitake mushroom,19/2/2018,1.026,2,0,1.5,1.6,0.574
Shiitake mushroom,20/2/2018,0.513,2,1,1,1.1,0.587
Shiitake mushroom,21/2/2018,1.11,2,2,1,1,-0.11
Shiitake mushroom,22/2/2018,0.899,2,3,1,1,0.101
Shiitake mushroom,23/2/2018,1.326,2,4,1.5,1.5,0.174
Shiitake mushroom,24/2/2018,0.987,2,5,1.5,1.4,0.413
Shiitake mushroom,25/2/2018,0.729,2,6,1.5,1.5,0.771
Shiitake mushroom,26/2/2018,0.814,2,0,1.5,1.5,0.686
Shiitake mushroom,27/2/2018,0.896,2,1,1.5,2,1.104
Shiitake mushroom,28/2/2018,1.324,2,2,1.5,1.5,0.176
Shiitake mushroom,1/3/2018,0.942,3,3,1.5,1.7,0.758
Shiitake mushroom,2/3/2018,1.368,3,4,1.5,1.5,0.132
Shiitake mushroom,3/3/2018,1.196,3,5,2,2.1,0.904
Shiitake mushroom,4/3/2018,1.112,3,6,1.5,1.7,0.588
Shiitake mushroom,5/3/2018,0.426,3,0,2,2.1,1.674
Shiitake mushroom,6/3/2018,0.598,3,1,1,1,0.402
Shiitake mushroom,7/3/2018,0.897,3,2,1.5,1.5,0.603
Shiitake mushroom,8/3/2018,0.938,3,3,1.5,1.5,0.562
Shiitake mushroom,9/3/2018,1.24,3,4,2,2.2,0.96
Shiitake mushroom,10/3/2018,1.196,3,5,2,2,0.804
Shiitake mushroom,11/3/2018,0.47,3,6,2,2.2,1.73
Shiitake mushroom,12/3/2018,0.47,3,0,0,0,0
Shiitake mushroom,13/3/2018,0.557,3,1,1,1,0.443
